MATNR;WERKS;MBRSH;MTART;SPRAS;MAKTX;VPSTA/PSTAT;XCHPF;SERLV;MATKL;MEINS;BISMT;SPART;MTPOS_MARA;BRGEW;NTGEW;GEWEI;VOLUM;VOLEH;GROES;EAN11;NUMTP;TRAGR;BSTME;EKWSL;RAUBE;MTVFP;WEBAZ;LGPRO;LADGR;PRCTR;STEUC;INDUS;VKORG;VTWEG;VRKME;DWERK;TAXKM;AUMNG;LFMNG;SCMNG;SCHME;RDPRF;VERSG;MTPOS;KONDM;INSMK;KTGRM;QMATA;KZDKZ;PRFRQ;SSQSS;QZGTP;LGORT;LGPBE;LWMKB;BWTAR;BWTTY;BKLAS;MLAST;VPRSV;VERPR;STPRS;PEINH;MTUSE;MTORG;OWPNR;DISMM;MAABC;MINBE;FXHOR;DISPO;DISLS;BSTMI;BSTMA;BSTFE;BESKZ;SCHGT;PLIFZ;FHORI;MRPPP;EISBE;EISLO;PRMOD;PERAN;PERKZ;ANZPR;PERIO;PERIN;FIMON
1;1036;E;ZEST;PT;LUBRIFICANTE PASTOSO DE ALTA VISCOSIDADE;B,C,E,K,L,Q,X,Z;;;33903001;BLD;;;NORM;0,01;;;;;;;;0001;;1;01;02;;;0001;1000-GERAL;0;00;;;;;1;;;;;;;NORM;;;;;;;;;AX01;;;;;1001;2;V;240,00;;;2;0;;VB;C;1;;001;;;;;F;;;;;;;;;;;;;;
2;1036;E;ZEST;PT;GASOLINA COMUM;B,C,E,K,L,Q,X,Z;;;33903001;L;;;NORM;0,01;;;;;;;;0001;;1;01;02;;;0001;1000-GERAL;0;00;;;;;1;;;;;;;NORM;;;;;;;;;AX01;;;;;1001;2;V;5,00;;;2;0;;VB;C;1;;001;;;;;F;;;;;;;;;;;;;;
3;1036;E;ZEST;PT;ÓLEO DIESEL S-10;B,C,E,K,L,Q,X,Z;;;33903001;L;;;NORM;0,01;;;;;;;;0001;;1;01;02;;;0001;1000-GERAL;0;00;;;;;1;;;;;;;NORM;;;;;;;;;AX01;;;;;1001;2;V;4,55;;;2;0;;VB;C;1;;001;;;;;F;;;;;;;;;;;;;;
4;1036;E;ZEST;PT;OLEO LUBRIFICANTE 10W30 PARA MOTOR À GAS;B,C,E,K,L,Q,X,Z;;;33903001;L;;;NORM;0,01;;;;;;;;0001;;1;01;02;;;0001;1000-GERAL;0;00;;;;;1;;;;;;;NORM;;;;;;;;;AX01;;;;;1001;2;V;60,00;;;2;0;;VB;C;1;;001;;;;;F;;;;;;;;;;;;;;
5;1036;E;ZEST;PT;ÓLEO 2 TEMPOS - 8017 H - FRASCO C/ 500 M;B,C,E,K,L,Q,X,Z;;;33903001;FRA;;;NORM;0,01;;;;;;;;0001;;1;01;02;;;0001;1000-GERAL;0;00;;;;;1;;;;;;;NORM;;;;;;;;;AX01;;;;;1001;2;V;7,50;;;2;0;;VB;C;1;;001;;;;;F;;;;;;;;;;;;;;
6;1036;E;ZEST;PT;ÓLEO LUBRIFICANTE 15W40;B,C,E,K,L,Q,X,Z;;;33903001;LT;;;NORM;0,01;;;;;;;;0001;;1;01;02;;;0001;1000-GERAL;0;00;;;;;1;;;;;;;NORM;;;;;;;;;AX01;;;;;1001;2;V;205,00;;;2;0;;VB;C;1;;001;;;;;F;;;;;;;;;;;;;;
7;1036;E;ZEST;PT;OLEO DIESEL S10;B,C,E,K,L,Q,X,Z;;;33903001;L;;;NORM;0,01;;;;;;;;0001;;1;01;02;;;0001;1000-GERAL;0;00;;;;;1;;;;;;;NORM;;;;;;;;;AX01;;;;;1001;2;V;4,93;;;2;0;;VB;C;1;;001;;;;;F;;;;;;;;;;;;;;
8;1036;E;ZEST;PT;OLEO  2 TEMPOS - FRASCO DE 500ML;B,C,E,K,L,Q,X,Z;;;33903001;FRA;;;NORM;0,01;;;;;;;;0001;;1;01;02;;;0001;1000-GERAL;0;00;;;;;1;;;;;;;NORM;;;;;;;;;AX01;;;;;1001;2;V;19,00;;;2;0;;VB;C;1;;001;;;;;F;;;;;;;;;;;;;;
9;1036;E;ZEST;PT;SACO  P/ MUDAS 18 X 30CM - 20 MICRAS;B,C,E,K,L,Q,X,Z;;;33903019;MIL;;;NORM;0,01;;;;;;;;0001;;1;01;02;;;0001;1000-GERAL;0;00;;;;;1;;;;;;;NORM;;;;;;;;;AX01;;;;;1000;2;V;61,63;;;2;0;;VB;C;1;;001;;;;;F;;;;;;;;;;;;;;
10;1036;E;ZEST;PT;GASOLINA COMUM;B,C,E,K,L,Q,X,Z;;;33903001;L;;;NORM;0,01;;;;;;;;0001;;1;01;02;;;0001;1000-GERAL;0;00;;;;;1;;;;;;;NORM;;;;;;;;;AX01;;;;;1001;2;V;3,93;;;2;0;;VB;C;1;;001;;;;;F;;;;;;;;;;;;;;
11;1036;E;ZEST;PT;ACHOCOLATADO - PCTE. C/ 500G;B,C,E,K,L,Q,X,Z;;;33903007;PAC;;;NORM;0,01;;;;;;;;0001;;1;01;02;;;0001;1000-GERAL;0;00;;;;;1;;;;;;;NORM;;;;;;;;;AX01;;;;;1005;2;V;4,00;;;2;0;;VB;C;1;;001;;;;;F;;;;;;;;;;;;;;
12;1036;E;ZEST;PT;MANTEIGA KG;B,C,E,K,L,Q,X,Z;;;33903007;KG;;;NORM;0,01;;;;;;;;0001;;1;01;02;;;0001;1000-GERAL;0;00;;;;;1;;;;;;;NORM;;;;;;;;;AX01;;;;;1005;2;V;16,29;;;2;0;;VB;C;1;;001;;;;;F;;;;;;;;;;;;;;
13;1036;E;ZEST;PT;ABAFADOR DE RUÍDO AURICULAR;B,C,E,K,L,Q,X,Z;;;33903028;UN;;;NORM;0,01;;;;;;;;0001;;1;01;02;;;0001;1000-GERAL;0;00;;;;;1;;;;;;;NORM;;;;;;;;;AX01;;;;;1000;2;V;19,95;;;2;0;;VB;C;1;;001;;;;;F;;;;;;;;;;;;;;
14;1036;E;ZQUI;PT;AGAR CZAPEK DOX... pH FINAL DE 7+ - 500g;B,C,E,K,L,Q,X,Z;;;33903011;FRA;;;NORM;0,01;;;;;;;;0001;;1;01;02;;;0001;1000-GERAL;0;00;;;;;1;;;;;;;NORM;;;;;;;;;AX01;;;;;2000;2;V;300,00;;;2;0;;VB;C;1;;001;;;;;F;;;;;;;;;;;;;;
